ID,Day,Temperature (°C),Replicate,Cobertura (%),N° fragmentos,Dim. fractal,Textura - std,Textura - coef. variación,Textura - Gini,Textura - skewness,Textura - curtosis,Entropía,Gradiente de color,Circularidad promedio,Distancia entre centroides,D1 (Information Dimension),D2 (Correlation Dimension),FW (mg/cm2),Chlo-a (mg/cm2),EC (uS/cm),DO (mg/L),P (ug/L)
D3_22_1_20191025_154226,3,22,1,60.94617272,16464,1.764739486,0.08245116996,0.1263066507,0.06929688669,-0.6410089132,1.015679843,6.3607036,0.007527081971,2.754624327,1067.240225,2.0047885,2.004563284,2.9,1.08,"1,539",9.8,163.78
D3_22_2_20191025_154240,3,22,2,56.70981965,14219,1.771949987,0.07314480255,0.1089842745,0.05997061713,-0.2650413578,1.236421355,6.209158753,0.007436621885,2.708418023,1067.967763,2.006918154,2.006782896,3.6,4.8,"1,543",9.73,181.54
D3_22_3_20191025_154251,3,22,3,52.49912817,17510,1.789901768,0.07126634742,0.1055761288,0.05840827851,-0.1763752199,0.9502137552,6.183731375,0.007403212201,2.650181292,973.838623,2.006191786,2.00600268,3.5,0.72,"1,540",9.7,172.66
D3_24_1_20191025_170217,3,24,1,55.81674605,11307,1.771690673,0.08828469908,0.1300483867,0.07268051054,-0.2520070369,0.317035083,6.507030449,0.008513076785,2.439007015,1080.888121,2.003311124,2.002918672,3.5,1.32,"1,496",9.34,117.3
D3_24_2_20191025_170229,3,24,2,61.74061155,12984,1.745574925,0.07624042243,0.104316212,0.05789640314,-0.2520434244,0.7018302017,6.285446612,0.008260317486,2.758256187,984.335105,2.003770635,2.003564038,3.8,0.9,"1,499",9.25,117.3
D3_24_3_20191025_170242,3,24,3,60.57764608,13574,1.762876059,0.08197917227,0.1150953355,0.06295767132,-0.4390759043,1.288055723,6.387883916,0.00827170574,2.609503131,1043.141536,2.002070564,2.001784165,4.7,0.48,"1,501",9.38,117.3
D3_26_1_20191025_182805,3,26,1,58.69650157,26072,1.769302914,0.09480219711,0.1552175974,0.0848176669,-0.5554822467,0.8459173337,6.552895157,0.009095003063,2.897085143,1012.462821,2.006731389,2.006382349,3.9,3.600,1809,8.65,123.89
D3_26_2_20191025_182817,3,26,2,57.4241496,14650,1.778249094,0.08681569281,0.1378201104,0.07483482331,-0.1977440525,1.355817752,6.435112272,0.007912941699,2.686371907,1128.402126,2.006141034,2.005783918,1.6,4.080,1825,8.4,123.89
D3_26_3_20191025_182829,3,26,3,51.42418929,16897,1.802196675,0.1107741228,0.1718987561,0.09497247257,-0.4543180779,0.6389542029,6.791635409,0.008288025352,2.785699238,1090.37956,2.007216876,2.006896774,3.4,2.400,1824,8.48,123.89
D6_22_1_20191028_144352,6,22,1,55.27234742,12260,1.765392396,0.07653660643,0.105066814,0.0590961171,-0.3151818864,0.2015500074,6.276650644,0.0084821445,2.561317644,1018.875689,2.005367716,2.005143219,3.7,3.24,"1,471",9.24,190.94
D6_22_2_20191028_144405,6,22,2,58.17423101,13185,1.748075245,0.0748750545,0.1051096183,0.05863076295,-0.391472935,0.6288327957,6.248601523,0.007995574885,2.699919345,1028.801422,2.00974573,2.009565133,3.8,3.24,"1,474",9.24,208.41
D6_22_3_20191028_144420,6,22,3,55.70879995,14157,1.777107053,0.07884556226,0.109860701,0.06183240169,-0.0003931559897,0.1015609521,6.334228714,0.008447618333,2.627351108,1103.565249,2.00536044,2.005188267,3.9,3.24,"1,475",9.32,199.675
D6_24_1_20191028_144436,6,24,1,41.39614714,20464,1.834419915,0.08325308981,0.117495655,0.06434688455,0.6070431552,1.130022259,6.379038378,0.008235629326,2.724139275,1250.057567,2.008427307,2.008226943,3.7,1.8,"1,456",8.48,142.97
D6_24_2_20191028_144457,6,24,2,57.45754159,9079,1.751137921,0.0920320535,0.1267358619,0.07127835336,-0.1502713335,0.08985982569,6.558967203,0.00845267974,2.586792491,1043.530186,2.001186196,2.000769165,3.8,1.8,"1,456",8.56,147.21
D6_24_3_20191028_144509,6,24,3,56.04925592,7811,1.767286208,0.1030903173,0.1467812208,0.08315534141,-0.2397409742,-0.2620914478,6.712660686,0.008637519012,2.559037427,1103.586309,2.007817174,2.007380403,3.75,1.8,"1,458",8.57,145.09
D6_26_1_20191028_144527,6,26,1,57.58677359,7600,1.757489025,0.1170660338,0.1791862078,0.1007273526,-0.3997164202,0.08952040243,6.90912419,0.008782765906,2.609123926,1058.638338,2.003538091,2.002793794,4.1,1.26,1854,7.81,178.6
D6_26_2_20191028_144542,6,26,2,53.50195571,8749,1.79804072,0.113907729,0.1843916298,0.1030558281,-0.1908626157,0.2359645819,6.852986827,0.008876905475,2.73132897,1174.225816,2.004371112,2.0036741,4,1.26,1863,7.9,183.56
D6_26_3_20191028_144556,6,26,3,52.0668941,8184,1.759175518,0.1377044456,0.2107662393,0.1193899685,-0.3360514587,-0.2896267849,7.136881134,0.008984593434,2.514307253,992.7528895,2.010661482,2.010068403,4.6,1.26,1863,7.79,181.08
D8_22_1_20191030_170411,8,22,1,61.40369184,5054,1.748178702,0.1097220825,0.1715071058,0.0949846843,-0.7693836761,0.6220081204,6.741067804,0.006850868601,2.014353019,926.6678146,2.010287859,2.009896206,1.8,2.31,"1,501",9.8,194.75
D8_22_2_20191030_170425,8,22,2,57.80991242,9125,1.75969082,0.09891163835,0.1452703442,0.08094990323,-0.2000388989,0.5336943013,6.663733807,0.007878245606,2.578186154,1091.683329,2.006610243,2.006408711,3.6,2.52,"1,503",9.73,201.18
D8_22_3_20191030_170439,8,22,3,55.63554678,8103,1.761774051,0.08969404614,0.1314356042,0.07453329854,-0.08346151795,-0.1953656058,6.497957975,0.007816162267,2.627011725,1066.049431,2.008602505,2.008446085,4,9.45,"1,503",9.65,197.965
D8_24_1_20191030_155443,8,24,1,64.40454683,4611,1.720070451,0.1055772569,0.1580650587,0.08723056469,-0.8115491778,0.4076765911,6.636590999,0.007921789022,1.906593745,1016.60795,2.000913013,2.000318308,1.4,1.62,"1,484",9.62,133.94
D8_24_2_20191030_155501,8,24,2,60.4284926,6789,1.753605031,0.09560924953,0.1463956842,0.08164716637,-0.6373878466,0.2160224661,6.5574797,0.007868363272,1.843044554,955.5775368,2.006056321,2.005501754,3.6,5.52,"1,486",9.51,146.42
D8_24_3_20191030_155516,8,24,3,60.8937188,8105,1.752842516,0.1013527403,0.1495055843,0.0825969739,-0.6937125183,0.6361590365,6.652481382,0.008024897793,1.941606573,871.2690399,2.006901189,2.00618873,3.8,1.44,"1,487",9.56,140.18
D8_26_1_20191030_125259,8,26,1,51.18121738,9611,1.750515524,0.08973910441,0.1352144304,0.07486906922,0.06537744756,0.4290824107,6.504330761,0.008136812971,2.579863368,961.7066551,2.003638054,2.003100911,4.1,3.48,1833,7.71,144.76
D8_26_2_20191030_125323,8,26,2,48.81155232,11569,1.786962355,0.1090727008,0.1619953461,0.0906140074,-0.08413544704,0.2216832025,6.816485754,0.007846994158,2.673158684,1068.606394,2.007387107,2.007048923,4,0.42,1849,7.71,144.8
D8_26_3_20191030_125339,8,26,3,49.45733126,9338,1.783313333,0.1121342405,0.1799021002,0.1009167705,-0.02403229529,0.05022632032,6.86644181,0.008070234982,2.539759869,1032.415146,2.007384555,2.006879729,3.9,0,1850,7.64,144.78
